objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
6013,209312561,1849,NA,NA,NA,WINSTON,RD,NA,22903,R,NA,NA,6013,290165000,Single Family,2 Story,C,Stucco,Shingles,Hardwood,Full Basement,Forced Air,0,1913,2,6,3,1,1,0,1560,842,0
6014,210112596,1701,NA,NA,NA,RUGBY,AVE,NA,22903,R,NA,NA,6014,290166000,Single Family,2 Story,C,Aluminum,Metal,Hardwood,No Basement,Forced Air,0,1945,2,7,3,0,1,0,1731,0,0
6016,346214121,115,NA,NA,NA,BOLLINGWOOD,RD,NA,22903,R,NA,NA,6016,290168000,Single Family,2 Story,B +,Stucco,Metal,Hardwood,Partial Basement,Heat Pump,0,1923,2,7,3,1,2,0,1636,644,NA
6017,225912765,1698,NA,NA,NA,RUGBY,AVE,NA,22903,R,NA,NA,6017,290169000,Single Family,2 Story,B,Stucco,Shingles,Hardwood,No Basement,Heat Pump,0,1945,2,7,3,1,2,0,1994,NA,NA
6018,228112781,1004,NA,NA,NA,RUGBY,RD,NA,22903,R,NA,NA,6018,290170000,Single Family,2 Story,C,Stucco,Shingles,Hardwood,Partial Basement,Hot Water Radiator,0,1945,2,9,3,1,1,0,1753,694,0
6022,123835589,2519,NA,NA,NA,WILLARD,DR,NA,22903,R,NA,NA,6022,290174000,Single Family,2 Story,D,Asbestos,Metal,Hardwood,Full Basement,Floor Furnace,0,1925,2,6,3,0,1,0,1284,683,0
6023,123955625,408,NA,NA,NA,MOSELEY,DR,NA,22903,R,NA,NA,6023,290175000,Single Family,2 Story,C,Stucco,Metal,Hardwood,Cellar,Forced Air,0,1925,2,8,4,0,2,0,1900,0,0
6024,93299502,1107,NA,NA,NA,CHERRY,ST,NA,22902,R,NA,NA,6024,290176000,Single Family-3 Conversion,1 Story,C,Concrete Block,Shingles,Hardwood,Full Basement,Gas Wall Unit,0,1953,1,19,7,0,5,0,1378,1378,1378
6025,94042063,611,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,6025,290176100,Duplex,1 Story,C,Stucco,Shingles,Hardwood,Full Basement,Gas Wall Unit,0,1925,1,7,3,0,2,0,635,635,502
6026,106043321,1432,NA,NA,NA,FOREST RIDGE,RD,NA,22903,R,NA,NA,6026,290176200,Duplex,2 Story,C,Stucco,Shingles,Hardwood,Full Basement,Floor Furnace,0,1945,2,9,4,0,2,0,1074,705,548
