objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,year_built,gross_area,story_height,number_of_stories
2308,102562856,1102,1,#,NA,LEONARD,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:00.000Z,50805,580259000,Commercial,1912,780,10,1
2008,8020992,1821,7,#,NA,JEFFERSON PARK,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50720,530274000,Medical Office,1956,1975,12,1
2016,320313813,1033,1/2,#,NA,LOCUST,AVE,NA,22901,R,PFAUTZ,2016-11-28T17:23:02.000Z,50721,530281000,Office Building,1923,305,10,1
2023,605316778,415,1,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50723,530299000,Medical Office,1998,2978,10,2
2030,195312410,1608,1/2,#,NA,OXFORD,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50725,530299500,Medical Office,1989,1126,10,1
2032,86309186,1413,B,#,NA,SHORT 18TH,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50727,530299700,Office,1989,1274,10,1
2034,99711080,1243,B7,#,NA,CEDARS,CT,NA,22903,R,PFAUTZ,2016-11-28T17:23:00.000Z,50728,530299900,Office,1989,762,10,1
2038,596916712,440,B,#,NA,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50730,540004000,Office Building,1890,NA,NA,NA
2040,626116921,508,2,#,NA,7TH,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:01.000Z,50732,540005000,Medical Office,1948,1578,8,1.5
2041,1013120017,1518,102,#,E,MARKET,ST,NA,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50733,540005000,Medical Office,1948,65,8,1
2045,357814305,762,B,#,NA,MADISON,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50734,540009000,Office Building,1939,1588,10,1.9
2047,33517170,1924,1,#,NA,SWANSON,DR,NA,22901,R,PFAUTZ,2016-11-28T17:23:02.000Z,50735,540010000,Office Building,1921,847,8,1
2051,388214567,921,1,#,NA,HENRY,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:00.000Z,50737,540019000,Office Building,1927,362,8,1
2053,367514279,604,A,#,NA,15TH,ST,NW,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50739,540020000,Office Building,1900,2758,10,2
2054,90379369,216,A,#,NA,DOUGLAS,AVE,NA,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50740,540020000,Office Building,1900,482,10,1
2063,88691567,205,A,#,NA,SHAMROCK,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50741,540057000,Office Building,1947,868,12,1
2064,129256261,2709,B,#,NA,ETON,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50742,540058000,Retail Store,1920,3138,10,1
2071,104473218,235,A,#,NA,STRIBLING,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50744,540112000,Office Building,1920,199,8,1
2072,99442589,111,B,#,NA,RAYMOND,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50745,540113000,Commercial,1954,349,8,1
2171,542616142,911,B,#,NA,PAOLI,ST,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50760,560008000,Multiple Commercial Use,1966,39540,14,1
2180,357814149,728,B,#,NA,MADISON,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50761,560028000,Storage Warehouse,1945,3254,12,2
2181,357814149,726,C,#,NA,MADISON,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50762,560028000,Storage Warehouse,1945,3200,12,1
2193,299313611,611,215,#,NA,RUGBY,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50763,560042000,Office Building,1977,3200,10,1
2212,107803496,2411,A,#,NA,SUNSET,RD,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50764,5600442D0,Commercial,1987,1091,12,1
2213,102012777,108,B,#,NA,RAYMOND,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50765,5600442D0,Commercial,1987,1191,12,1
2006,7671708,1800,22,UNIT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2006,530272000,Office Building,1890,104,10,1
2062,133336715,230,B,APT,NA,OLD LYNCHBURG,RD,NA,22903,R,NA,NA,2062,540055000,Office Building,1947,1302,12,1
2346,46237889,1217,A,APT,NA,RIVER VISTA,AVE,NA,22901,R,NA,NA,2346,610002000,Apartments over 20 units,1924,13008,8,3
2354,46487892,1219,B,APT,NA,RIVER VISTA,AVE,NA,22901,R,NA,NA,2354,610049500,Office Building,1992,2220,14,1
2007,179812130,1932,7,#,NA,ARLINGTON,BLVD,NA,22903,C,PFAUTZ,2016-11-28T17:23:26.000Z,50719,530273000,Office Building,1959,5970,12,1
2048,70910707,2114,106,#,NA,ANGUS,RD,NA,22901,C,PFAUTZ,2016-11-28T17:23:27.000Z,50736,540017000,Medical Office,1969,5930,10,2
2148,179812130,1932,119,#,NA,ARLINGTON,BLVD,NA,22903,C,PFAUTZ,2016-11-28T17:23:27.000Z,50758,540277A00,Apartments 11-20 Units,2001,10455,10,3
2242,70233279,406,102B,#,E,MARKET,ST,NA,22902,NA,PFAUTZ,2016-11-28T17:23:22.000Z,50776,570036000,Apartments over 20 units,1973,10050,12,2
2009,83631295,1904,26,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2009,530275100,Office Building,1925,1626,10,2
2133,141893081,131,NA,NA,NA,FRANKLIN,ST,NA,22902,C,NA,NA,2133,540159000,Dist. Warehouse,1973,3750,12,1
2339,99962570,719,4,APT,NA,RIDGE,ST,NA,22902,R,NA,NA,2339,590246000,Church,1946,1680,12,1
2319,81131036,1018,NA,NA,NA,CHERRY,AVE,NA,22903,R,NA,NA,2319,580334000,Office,1910,2213,8,1
2223,278513376,600,NA,NA,NA,WILDER,DR,NA,22901,R,NA,NA,2223,560084100,Condominium - Commercial,2012,2467,10,1
2210,102693188,128,A,APT,NA,STRIBLING,AVE,NA,22903,R,NA,NA,2210,5600442CL,Multiple Commercial Use,1987,2179,11,1
2211,99732618,127,B,APT,NA,STRIBLING,AVE,NA,22903,R,NA,NA,2211,5600442D0,Commercial,1987,2156,12,1
2168,609216819,400,NA,NA,W,HIGH,ST,NA,22902,R,emerickr,2014-10-16T20:05:41.000Z,2168,560001000,Multiple Commercial Use,1950,408,10,3
2247,7436478,208,C,APT,W,SOUTH,ST,NA,22902,R,emerickr,2014-10-16T20:05:42.000Z,2247,570042000,Service Repair Garage,1940,906,12,1
2248,7436478,208,D,APT,W,SOUTH,ST,NA,22902,R,emerickr,2014-10-16T20:05:41.000Z,2248,570042000,Service Repair Garage,1940,200,12,1
2065,150611723,2401,38,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2065,540060000,Retail Store,1973,5961,12,1
2066,150611723,2401,50,APT,NA,ARLINGTON,BLVD,NA,22903,R,NA,NA,2066,540061000,Retail Store,1988,6800,10,2
