RecordID_Int,ParcelNumber,UseCode,Style,Grade,ExtWalls,Roof,Flooring,BsmtType,Heating,Fireplace,YearBuilt,NoOfStories,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,SqFootageFinishedLiving,Basement,FinishedBasement
7211,340030000,Single Family,1 Story,B,Brick Veneer,Shingles,Tile,No Basement,Hot Water Radiator,1,1954,1.00,5,2,0,1,0,1064,,
7212,340030100,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,1,1958,1.00,6,3,1,2,0,1545,563,0
7213,340030200,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,0,1961,1.00,6,3,1,1,0,1272,0,0
7214,340030300,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1956,1.00,6,3,0,2,1,1322,1322,
7215,340030400,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1956,1.00,6,3,0,2,1,1322,1322,661
7216,340031000,Single Family,1 Story,A,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,1,1941,1.00,7,2,0,2,0,1549,209,0
7217,340032000,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Hot Water Radiator,1,1955,1.00,6,3,1,1,0,1467,0,0
7218,340033000,Single Family,2 Story,B,Brick Veneer,Slate,Hardwood,Full Basement,Hot Water Radiator,1,1936,2.00,6,3,1,3,0,1818,909,909
7219,340034000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1938,2.50,6,3,1,2,1,1785,714,714
7220,340035000,Single Family,1 Story,B,Stucco,Built Up,Hardwood,Full Basement,Hot Water Radiator,1,1935,1.00,7,3,1,2,0,1876,758,758
7221,340036000,Single Family-1 Conversion,1 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1929,1.00,6,3,0,2,0,1412,540,540
7222,340037000,Single Family,1.5 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1942,1.50,6,3,1,1,0,1265,723,425
7223,340038000,Single Family,2 Story,B,Concrete Block,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1940,2.00,6,3,2,1,0,1440,720,
7224,340039000,Single Family,1.5 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1930,1.50,6,3,0,2,0,2111,704,0
7225,340040000,Single Family,2 Story,B,Asbestos,Shingles,Other,Full Basement,Hot Water Radiator,1,1938,2.00,6,3,1,1,0,1468,734,0
7226,340041000,Single Family,1.5 Story,B,Brick Veneer,Shingles,Other,Full Basement,Hot Water Radiator,0,1956,1.50,5,3,1,1,0,1341,894,
7227,340042000,Single Family-1 Conversion,1 Story,B,Brick Veneer,Shingles,None,Full Basement,Forced Air,1,1953,1.00,9,5,0,2,0,1340,1340,1240
7228,340043000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Hot Water Radiator,1,1948,1.00,5,2,0,1,0,897,521,449
